#ZVView-data-copy:  23-Mar-2020 08:03:20
#=======================================
#
#name:   13-AL-27(N,A)11-NA-24,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  654
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        10.069       0.0615       0.0882    0.0028577  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
         10.13         0.05       0.0905        0.003  # 1963,J.P.Butler+         ## 11457006  #dY:3.3%   
        10.264         0.06       0.0891    0.0027977  # 2007,W.Mannhart+         ## 22976004  #dY:3.1%   
         10.35          0.1        0.071       0.0142  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
          10.4         0.05       0.0974       0.0032  # 1963,J.P.Butler+         ## 11457006  #dY:3.3%   
          10.5            0      0.09789       0.0096  # 1992,Y.Uwamino+          ## 22703002  #dY:9.8%   
        10.551       0.0575       0.0994    0.0031808  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
         10.62         0.05        0.104        0.003  # 1963,J.P.Butler+         ## 11457006  #dY:2.9%   
        10.751       0.0565       0.1018    0.0032576  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
         10.81         0.05        0.102        0.003  # 1963,J.P.Butler+         ## 11457006  #dY:2.9%   
        10.998        0.056       0.1105    0.0035912  # 2007,W.Mannhart+         ## 22976004  #dY:3.2%   
            11         0.05        0.111        0.004  # 1963,J.P.Butler+         ## 11457006  #dY:3.6%   
            11          0.1        0.074       0.0148  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
            11          0.5       0.1024       0.0047  # 1991,Y.Ikeda+            ## 22209002  #dY:4.6%   
            11          0.5       0.1024       0.0045  # 1991,Y.Ikeda+            ## 22209009  #dY:4.4%   
         11.22         0.05        0.108        0.004  # 1963,J.P.Butler+         ## 11457006  #dY:3.7%   
        11.223        0.055        0.107     0.003531  # 2007,W.Mannhart+         ## 22976004  #dY:3.3%   
        11.399       0.0545        0.112    0.0037744  # 2007,W.Mannhart+         ## 22976004  #dY:3.4%   
          11.5          0.1         0.08        0.016  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
          11.5            0       0.1089       0.0095  # 1992,Y.Uwamino+          ## 22703002  #dY:8.7%   
         11.61         0.05        0.118        0.004  # 1963,J.P.Butler+         ## 11457006  #dY:3.4%   
        11.654        0.053       0.1092    0.0037128  # 2007,W.Mannhart+         ## 22976004  #dY:3.4%   
        11.654        0.053       0.1085    0.0036782  # 2007,W.Mannhart+         ## 22976004  #dY:3.4%   
        11.654        0.053       0.1088    0.0037645  # 2007,W.Mannhart+         ## 22976004  #dY:3.5%   
          11.8          0.1        0.089       0.0178  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
          11.8            0        0.117       0.0037  # 1979,M.T.Swinhoe+        ## 20986003  #dY:3.2%   
          11.8            0        0.117       0.0037  # 1983,S.Firkin            ## 21941006  #dY:3.2%   
        11.839        0.052       0.1167    0.0039678  # 2007,W.Mannhart+         ## 22976004  #dY:3.4%   
         11.92            0        0.108      0.00108  # 1960,G.S.Mani+           ## 20921003  #dY:1.0%   
            12          0.5       0.1185       0.0043  # 1991,Y.Ikeda+            ## 22209002  #dY:3.6%   
            12          0.5       0.1165       0.0043  # 1991,Y.Ikeda+            ## 22209009  #dY:3.7%   
          12.1         0.05        0.112        0.005  # 1963,J.P.Butler+         ## 11457006  #dY:4.5%   
        12.116       0.0505       0.1152    0.0040781  # 2007,W.Mannhart+         ## 22976004  #dY:3.5%   
         12.13        0.075       0.1135       0.0079  # 1961,B.P.Bayhurst+       ## 11462002  #dY:7.0%   
         12.13            0       0.1185     0.001185  # 1960,G.S.Mani+           ## 20921003  #dY:1.0%   
         12.23         0.07       0.1182       0.0051  # 1989,Lu Han-Lin+         ## 30523003  #dY:4.3%   
        12.273       0.0505       0.1149     0.004033  # 2007,W.Mannhart+         ## 22976004  #dY:3.5%   
          12.3          0.1        0.083       0.0166  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
         12.33            0        0.121      0.00121  # 1960,G.S.Mani+           ## 20921003  #dY:1.0%   
         12.34        0.025       0.1216       0.0012  # 1967,J.M.Ferguson+       ## 11512003  #dY:1.0%   
         12.37        0.025       0.1216       0.0007  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.6%   
          12.4        0.025       0.1228       0.0008  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.7%   
         12.42        0.025       0.1222       0.0008  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.7%   
        12.446       0.0505       0.1193    0.0043067  # 2007,W.Mannhart+         ## 22976004  #dY:3.6%   
         12.45            0        0.145        0.005  # 1962,F.Gabbard+          ## 11494003  #dY:3.4%   
         12.45        0.025       0.1209       0.0009  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.7%   
         12.47        0.025       0.1213       0.0007  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.6%   
          12.5        0.025        0.122       0.0009  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.7%   
          12.5            0       0.1192       0.0093  # 1992,Y.Uwamino+          ## 22703002  #dY:7.8%   
         12.53         0.13        0.121        0.006  # 1963,J.P.Butler+         ## 11457007  #dY:5.0%   
         12.53         0.02       0.1223        0.001  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.8%   
         12.55         0.02       0.1237        0.001  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.8%   
         12.55            0        0.113      0.00113  # 1960,G.S.Mani+           ## 20921003  #dY:1.0%   
         12.55          0.2        0.115        0.012  # 1963,J.M.F.Jeronymo+     ## 20922002  #dY:10.4%  
         12.59         0.06        0.119        0.006  # 1963,J.P.Butler+         ## 11457006  #dY:5.0%   
         12.59        0.015        0.124        0.001  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.8%   
          12.6            0         0.14         0.01  # 1962,F.Gabbard+          ## 11494003  #dY:7.1%   
          12.6         0.15          0.1        0.008  # 1961,M.Bormann+          ## 20904002  #dY:8.0%   
         12.63        0.015       0.1227        0.001  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.8%   
         12.63        0.055        0.135        0.008  # 1965,A.Paulsen+          ## 20378003  #dY:5.9%   
         12.63            0       0.1345     0.001345  # 1960,G.S.Mani+           ## 20921003  #dY:1.0%   
         12.66        0.015       0.1206       0.0009  # 1967,J.M.Ferguson+       ## 11512003  #dY:0.7%   
         12.66            0       0.1216      0.01824  # 1964,W.L.Imhof           ## 11526003  #dY:15.0%  
          12.7        0.015       0.1206        0.002  # 1967,J.M.Ferguson+       ## 11512003  #dY:1.7%   
        12.703         0.05       0.1195    0.0043259  # 2007,W.Mannhart+         ## 22976004  #dY:3.6%   
         12.75            0        0.137        0.005  # 1962,F.Gabbard+          ## 11494003  #dY:3.6%   
         12.75        0.015       0.1186        0.002  # 1967,J.M.Ferguson+       ## 11512003  #dY:1.7%   
         12.79        0.145       0.1208       0.0053  # 1989,Lu Han-Lin+         ## 30523003  #dY:4.4%   
          12.8          0.1        0.093       0.0186  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
          12.8        0.015       0.1177       0.0031  # 1967,J.M.Ferguson+       ## 11512003  #dY:2.6%   
         12.81        0.075        0.133        0.008  # 1965,A.Paulsen+          ## 20378003  #dY:6.0%   
         12.85        0.015        0.119       0.0018  # 1967,J.M.Ferguson+       ## 11512003  #dY:1.5%   
          12.9        0.015        0.118       0.0028  # 1967,J.M.Ferguson+       ## 11512003  #dY:2.4%   
         12.95        0.015        0.118       0.0028  # 1967,J.M.Ferguson+       ## 11512003  #dY:2.4%   
        12.976       0.0495       0.1208    0.0045421  # 2007,W.Mannhart+         ## 22976004  #dY:3.8%   
         12.98        0.085         0.13        0.008  # 1965,A.Paulsen+          ## 20378003  #dY:6.2%   
            13          0.1        0.091       0.0182  # 1960,H.A.Tewes+          ## 11504003  #dY:20.0%  
            13        0.015       0.1172       0.0036  # 1967,J.M.Ferguson+       ## 11512003  #dY:3.1%   
         13.03          0.1       0.1414        0.017  # 1959,B.D.Kern+           ## 11464003  #dY:12.0%  
